Date,Albany County,Allegany County,Bronx County,Broome County,Cattaraugus County,Cayuga County,Chautauqua County,Chemung County,Chenango County,Clinton County,Columbia County,Cortland County,Delaware County,Dutchess County,Erie County,Essex County,Franklin County,Fulton County,Genesee County,Greene County,Herkimer County,Jefferson County,Kings County,Lewis County,Livingston County,Madison County,Monroe County,Montgomery County,Nassau County,New York County,Niagara County,Oneida County,Onondaga County,Ontario County,Orange County,Orleans County,Oswego County,Otsego County,Putnam County,Queens County,Rensselaer County,Richmond County,Rockland County,Saratoga County,Schenectady County,Schoharie County,Schuyler County,Seneca County,St. Lawrence County,Steuben County,Suffolk County,Sullivan County,Tioga County,Tompkins County,Ulster County,Warren County,Washington County,Wayne County,Westchester County,Wyoming County,Yates County
13/01/2020,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14/01/2020,103.06,95.74,97.75,101.25,101.89,107.29,102.3,98.82,115.49,104.47,100.75,106.85,113.99,101.72,99.58,95.26,105.71,110.42,107.07,96.69,96.07,101.89,101.92,93.16,105.34,110.17,106.76,101.7,104.53,94.86,103.78,104.81,101.64,102.58,99.47,107.5,100.23,122.49,101.93,100.56,98.8,100.23,98.18,103.71,104.29,108.77,98.9,97.88,109.12,98.38,102.24,93.09,95.6,107.97,101.5,97.68,100.48,107.95,102.91,101.24,99.11
15/01/2020,108.62,99.12,101.59,107.33,99.82,105.3,98.09,95.49,126.14,106.57,103.81,112.65,91.25,104.59,96.56,88.71,102.47,106.46,104.56,104.64,102.16,101.54,102.9,92.33,100.63,106.81,106.12,104.59,107.13,99.23,99.23,106.74,105.85,106.36,101.53,114.36,99.83,113.66,106.8,103.52,101.14,104.43,100.12,104.95,106.45,94.09,97.61,96.92,110.39,99.45,105.22,95.78,99.14,109.91,102.93,102.38,99.79,103.41,105.84,112.89,113.36
16/01/2020,105.96,94.77,101.51,105.91,101.08,96.34,98.26,100.85,111.81,97.7,106.99,107.66,89.69,107.7,98.2,91.95,97.42,106.6,99.14,111.58,95.02,102.07,108.19,86.97,105.15,105.33,105.01,105.31,107.04,103.35,99.06,105.37,100.88,107.3,100.82,104.04,98.97,108.7,105.28,106.45,104.61,110.33,100.83,108.76,106.72,94.77,102.39,97.88,91.69,101.82,105.74,96.17,101.8,111.48,105.74,103.58,93.28,100.39,107.64,94.9,107.57
17/01/2020,129.24,128.83,120.32,130.64,150.9,124.52,128.81,124.42,141.57,142.42,156.02,147.89,121.51,126.86,115.86,163.51,123.72,125.52,132.5,172.16,120.41,126.51,124.46,129.35,125.01,130.81,122.34,139.22,120.4,122.96,118.79,128.32,120.65,125.5,127.34,124.39,122.29,138.64,130.2,121.1,135.86,128.54,117.3,130.52,125.54,119.69,135.39,128.79,124.37,127.91,119.01,118.29,127.13,154.67,148.56,149.5,127.13,114.14,124.84,129.48,130.9
18/01/2020,87.45,108.65,92.53,98.48,142.42,100.59,105.6,91.88,99.21,123.43,116.53,123.36,98.14,89.34,92.77,184.55,130.59,94.12,98.28,166.33,106.76,90.69,108.62,94.89,102.74,109.39,102.15,98.78,98.92,115.13,110.73,98.22,94.14,117.32,84.46,113.78,105.43,108.85,92.02,96.59,96.81,103.61,83.68,96.38,96.12,92.86,116.85,131.64,118.36,99.1,100.56,89.7,92.3,127,105.04,138.15,98.13,95.05,93.94,98.01,111.13
19/01/2020,82.46,106.52,84.71,129.31,138.32,85.84,91.73,87.85,92.86,97.41,117.81,132.08,118.76,98.2,68.32,166.46,100.38,94.5,81.66,193.47,100.36,76.69,100.53,91.1,91.86,96.88,79.97,91.66,86.61,107.98,92.36,88.8,79.93,101.53,99.05,95.1,81.03,96.76,98.77,92.21,91.52,94.17,92.93,92.78,85.64,103.88,110.67,101.56,90.74,101.94,87.33,111.84,112.51,136.8,119.28,135.29,80.71,85.69,89.82,79.86,85.31
20/01/2020,104.04,114.58,90.77,134.79,135.65,108.3,114.33,94.84,113.65,121.09,128.22,133.21,116.82,115.05,89.97,148.89,104.78,102.92,103.17,188.48,122.29,98.68,99.63,112.94,108.58,112.38,95.66,119.67,96.28,87.73,104.84,108.5,103.46,110.85,115.58,102.42,99.83,118.8,114.39,96.4,107.2,98.02,102.49,110.83,99.89,118.56,108.67,112.96,105.61,106.33,96.99,122.18,106.76,148.79,146.17,135,116.34,99.44,102.58,112.46,109.8
21/01/2020,108.69,104.67,100.69,115.8,102.97,101.16,101.38,98.51,110.08,108.55,101.16,106.55,100.22,104.47,94.48,87.04,106.04,108.77,100.11,114.02,103.16,100.32,99.82,97.61,119.47,108.4,102.18,105.33,102.23,90.64,101.38,108.46,98.77,100.14,102.99,108.82,100.71,118.37,100.97,101.34,102.39,102.32,95.39,101.73,105.54,112.37,109.07,93.51,100.2,97.48,99.55,100.76,90.57,124.97,107.44,102.5,91.53,99.85,104.99,104.67,120.3
22/01/2020,108.37,93.66,101.24,115.21,101.18,100.28,100,107.02,109.82,106.5,105.38,112.32,91.74,103.65,96.86,90.45,99.12,104.85,98.85,101.54,107.17,100.78,103,121.35,108.65,106.41,101.92,100.84,103.84,95.43,101.94,109.48,101.83,100.32,101.36,104.33,102.64,114.89,102.63,101.02,100.33,105.95,95.67,103.71,109.08,107.65,108.47,89.76,94.75,100.25,102.54,96.1,94.85,140.06,104.57,102.8,100,100.72,103.07,101.83,111.31
23/01/2020,115.09,108.33,102.7,118.82,107.79,108.67,110.24,103.04,116.64,110.21,106.32,121.67,94.86,106.2,105.37,113.38,105,99.11,107.29,111.25,105.21,104.79,106.76,103.87,118.65,113.38,107.12,104.66,107.16,102.7,103.9,112.31,105.96,109.91,105.82,119.38,108.78,116.1,101.74,105.1,110.9,147.9,100.64,108.3,108.05,101.35,108.87,104.77,112.05,99.86,105.83,98.41,99.92,126.5,106.17,110.98,103.08,100.62,106.57,105.59,114.43
24/01/2020,131.9,135.54,120.05,149.9,145.99,132.09,131.06,118.78,127.61,135.63,129.54,180.99,117.12,126.5,119.25,150.79,126.63,124,124.55,150.71,130.91,117.19,121.09,118.14,136.73,135.23,127.47,138.81,119.38,125.13,129.74,137.09,125.11,139.61,121.8,124.45,130.95,139.3,118.59,119.35,131.31,130.64,113.31,126.71,124.37,135.49,133,136.35,130.71,122.97,123.5,123,122.25,159.51,134.43,145.56,119.32,116.01,121.61,122.45,118.34
25/01/2020,114.66,157.8,104.21,141.22,168.82,119.27,130.97,107.54,119.32,140.34,121.22,193.42,109.49,120.03,111.91,157.13,127.68,111.49,127.64,168.86,119.97,109.7,115.91,126.96,140.14,139.07,119.35,128.32,107.11,122.78,133.96,118.61,113.54,132.84,111.13,136.56,122.62,119.51,118.97,108.11,118.53,112.28,105.06,122.57,111.55,120.75,127.42,131.15,137.97,121.33,107.14,110.25,114.69,159.47,124.26,148.48,112.75,113.77,111.94,133.3,141.32
26/01/2020,84.05,105.37,83.25,107.79,126.47,92.25,102.54,86.68,99.58,96.9,110.18,149.75,96.39,95.45,78.01,133.08,105.93,85.14,106.2,152.37,104.76,80.09,95.75,93.65,100.97,109.95,81.69,92.85,82.86,98.26,95.05,90.86,80.36,100.68,97.43,97.23,101.45,93.33,97.44,90.84,89.45,91.3,92.29,90.3,82.27,93.53,102.29,103.41,96.56,91.04,86.18,104.06,95.04,123.06,114.49,115.79,95.33,90.64,89.28,91.57,113.71
27/01/2020,94.25,98.84,97.01,103.19,95.88,87.11,95.19,95.94,108.56,108.89,98.02,112.93,85.23,93.27,92.09,82.85,89.79,96.66,89.62,101.38,90.61,90.88,96.06,85.82,100.65,107.9,93.89,97.8,94.95,87.7,93.72,99.68,90.74,96.11,92.43,100.98,105.8,90.42,91.28,96.54,91.39,99.66,90.79,93.55,94.47,107.71,104.69,87.11,104.17,96.54,98.18,95.72,87,108.67,96.74,94.87,85.68,96.54,94.4,100.64,107.21
28/01/2020,102.29,102.92,97.36,108.23,107.49,92.01,99.57,98.03,111.02,108.13,97.39,123.28,84.56,97.19,96.34,87.11,93.57,91.57,101.52,99.88,97.59,96.43,97.25,104.86,107.1,111.29,98.57,96.32,101.48,91.01,96.38,104.76,93.57,100.36,94.04,99.65,107.36,96.74,96.06,95.94,99.85,101.66,92.21,100.74,96.91,94.26,109.87,88.4,106.32,91.73,100.1,89.45,97.82,109.19,100.15,98.83,91.5,98.1,98.55,112.08,121.82
29/01/2020,102.42,98.98,97.92,112.1,100.55,99.5,97.6,95.5,108.5,112.49,95.42,121.45,83.92,101.25,96.57,101.57,91.49,101.41,100.48,103.98,100.94,95.49,99.07,104.2,105.41,112.1,98.27,102.22,100.62,95.13,96.21,106.17,95.08,102.92,93.83,114.3,107.86,96.16,95.41,98.13,100.06,102.92,93.27,99.06,99.75,106.19,100.5,94.67,109.28,100.58,101.16,87.89,98.08,114.6,101.86,102.42,91.26,97.54,99.74,106.77,121.73
30/01/2020,108.24,108.93,100.11,115.56,110.25,102.63,106.71,101.08,108.24,110.3,102.4,138.43,90.88,101.67,101.92,105.82,106.86,110.21,101.77,111.89,98.01,100.96,103.07,111.87,110.35,110.25,103.44,106.05,105.14,102.22,99.52,110.72,103.75,106.81,98.63,110.09,118.57,93.01,104.84,103.5,104.47,105.32,98.18,103.99,102.22,102.92,98.8,101.52,108.59,100.44,103.43,95.19,96.96,120.84,105.45,106.92,101.51,97.05,102.42,108.43,114.16
31/01/2020,124.52,150.02,116.77,148.51,150.94,123.82,137.46,120.27,129.24,144.07,137.56,185.41,118.53,120.86,120.57,147.81,148.05,124.11,128.34,144.67,127.78,123.97,121.03,130.17,134.01,138.79,125.62,130.31,117.54,124.78,121.15,133.18,126.26,128.69,121.54,129.64,141.13,128.71,120.46,114.68,128.05,120.02,108.99,125.21,120.98,126.04,130.51,124.09,150.57,116.4,117.2,118.27,122.77,165.1,135.92,133,117.64,117.45,117.06,120.3,137.93
01/02/2020,112.66,165.11,108.23,139.74,173.04,121.41,131.75,130.55,130.5,140.54,126.88,198.56,119.2,121.27,113.42,212.27,204.17,125.62,131.24,157.73,135.23,127.9,123.25,162.98,149.37,148.03,119.6,125.14,113.28,125.15,125.09,129.17,127.81,149.78,116.59,135.58,139.6,135.12,120.88,110.31,120.23,117.76,107.73,140.8,111.94,133.07,162.71,152.65,155.11,130.18,113.65,117.95,123.94,183.02,133.9,154.21,113.42,117.45,114.71,128.95,166.87
02/02/2020,82.74,105.14,82.59,105.23,116.59,76.33,87.74,85.38,86.67,102.23,104.76,130.41,84.85,89.47,70.6,143.95,123.23,89.96,86.62,129.03,87.54,89.01,95.49,96.54,92.95,101.57,80.47,91.85,81.21,87.64,84.73,87.76,85.09,89.28,89.99,89.27,95.36,93.48,87.18,87.71,88.8,88.75,87.51,96.23,85.5,99.44,95.21,83.86,98.24,82.03,81.23,96.29,85.42,113.6,105.03,110.59,86.43,83.63,83.82,82.92,90.38
03/02/2020,96.74,101.94,99.87,108.84,98.82,94.27,101.21,93.39,112.13,112.33,97.97,124.78,97.43,97.5,91.22,89.01,111.97,98.25,97.22,102.73,93.35,100.44,98.3,94.31,97.29,102.15,94.19,101.65,95.25,91.52,95.83,100.19,92.1,93.63,93.15,107.5,109.16,94.63,93.56,97.57,97.34,97.48,92.79,92.96,94.96,106.58,104.99,91.78,102.13,98.57,96.32,90.5,94.33,110.04,106.78,98.93,102.68,91.3,95.43,97.69,112.47
04/02/2020,106.21,100.51,96.89,107.53,101.59,92.16,101.12,94.42,98.85,111.91,97.29,117.81,84.63,99.47,96.16,90.48,102.36,100.03,100.75,96.45,91.5,95.95,99.2,83.02,104.45,107.27,99.42,100.43,100.56,94.16,96.63,104.55,98.22,98.89,95.89,104.56,108.41,94.65,97.77,96.87,103.57,99,94.27,97.55,100.05,109.84,124.43,94.86,107.15,100.55,100.52,88.5,92.52,105.78,101.45,104.15,101.84,101.72,98.8,95.65,116.47
05/02/2020,103.22,101.8,98.38,109.16,100.3,92.95,102.3,96.47,104.57,109.69,98.84,128.25,78.27,97.73,96.57,95.58,93.25,104.57,96.14,95.85,102.24,101.62,100.03,97.77,113.18,106.93,101.17,97.25,100.18,96.98,98.79,107.74,98.34,99.37,93.77,106.34,107.18,95.47,96.18,98.41,100.53,108.37,91.17,99.27,98.22,115.64,107.78,89.66,106,105.32,100.31,84.91,90.04,111.72,99.07,103.63,92.55,100.1,98.81,93.93,123.42
06/02/2020,98.54,101.2,103.55,111.46,108.36,88.37,98.94,89.08,109.66,99.24,93.13,126,87.35,98.02,100.66,97.68,96.87,81.02,90.83,101.95,91.42,86.28,106.91,85.82,94.01,108.38,101.63,98.16,108.06,104.86,97.28,100.46,97.77,93.52,95.11,106.63,100.85,92.49,97.7,104.84,94.37,107.14,97.46,95.6,96.65,89.31,105.18,79.69,95.79,99.79,104.13,89.72,87,118.76,100.57,89.27,80.46,93.18,102.23,84.21,101.42
07/02/2020,112.18,104.81,115.95,103.17,124.59,78,109.87,84.8,93.02,94.8,117.57,134.91,99.59,118.43,105.38,138.58,90.72,95.6,90.45,134.55,104.51,78.69,119.12,90.85,101.23,96.12,92.21,119.36,114.2,127.74,104.69,88.36,80.5,86.32,112.61,94.12,94.41,100.24,121.82,115.53,110.16,120.99,107.23,103.87,105.73,104.33,89.43,80.48,90.19,90.46,113.43,103.47,77.56,106.14,124.16,125.21,96.02,77.83,117.18,95.54,96.17
08/02/2020,111.27,141.69,110.73,137.22,157.56,103.28,124.38,108.1,130.97,126.85,127.56,198.06,112.5,121.94,106.85,174.48,137.23,124.42,113.99,156.58,116.75,114.46,129.62,127.21,129.54,138.95,110.63,121.15,112.2,135.69,117.54,119.8,112.05,137.69,120.89,119.38,125.46,126.68,121.05,113.27,117.09,118.37,108.1,125.86,113.44,133.86,141.87,134.89,130.51,110.67,114.77,119.97,117.44,148.06,127.8,163.15,110.94,107.16,115.18,126.96,138.74
09/02/2020,89.42,108.19,86.47,113.26,134.38,94.33,106.97,89.03,102.41,107.64,116.71,161.18,103.8,94.71,80.71,181.48,137.62,98.38,94.72,160.6,112.99,97.77,103.42,112.37,108.33,117.87,85.55,102.49,84.9,103.3,97.26,95.42,89.88,107.26,95.59,101.33,98.66,109.11,100.01,92.56,99.74,91.86,93.26,100.92,91,115.47,143.27,109.08,113.03,99.01,86.95,99.9,108.94,118.57,116.67,143.68,93.43,95.97,90.2,92.64,139.8
10/02/2020,98.48,103.66,101.52,108.95,104.01,95.99,102.63,94.89,105.83,112.33,95.16,125.75,86.6,101,95.48,108.87,117.19,103.95,97.42,103.59,97.29,99.42,102.32,89.61,107.91,111.23,99.84,99.74,99.01,94.76,96.96,103.72,97.86,101.99,94,105.19,109.84,94.8,95.28,102.85,95.37,104.3,93.74,101,96.77,99.38,111.96,100.17,118.01,101.04,98.48,85.11,95.11,112.66,94.84,125.3,92.31,101.08,98.68,101.24,128.58
11/02/2020,108.66,109.21,103.76,115.12,104.82,98.51,103.84,100.22,114.75,118.09,102.25,129.74,89.84,102.11,101.34,91.26,102.03,109.15,107.18,102.83,100.5,106.11,103.15,123.33,116.19,120.68,102.44,109.49,103.58,100.37,100.69,109.93,103.15,103.52,97.07,110.03,109.58,95.81,101.69,102.38,102.09,108.49,98.51,106.19,101.64,100.9,110.07,96.02,107.25,108.32,102.24,91.36,94.51,115.18,107.34,113.37,98.73,101.46,104.76,112.24,126.8
12/02/2020,109.98,107.22,103.42,116.28,108.53,98.6,109.75,104.29,113.65,118.76,107.12,132.63,91.92,104.4,103.06,105.79,103.68,115.85,108.29,110.02,105.18,108.23,104.9,109.23,105.94,115.43,105.69,103.27,105.64,101.32,103.48,111.8,103.99,110.2,101.86,105.54,112.78,97.95,99.37,103.27,107.27,105.27,98.4,106.35,103.81,108.16,102.69,100.86,122.93,102.7,106.74,95.55,95.38,123.87,106.85,107.51,103.77,107.05,104.15,108.75,133.3
13/02/2020,115.25,102.82,109.16,126.68,117.14,99.34,110.8,103.15,116.96,120.37,104.63,147.78,90.96,109.7,110.14,117.8,105.27,107.63,106.57,110.84,102.22,119.51,114.05,108.66,118.31,121.66,109.99,108.44,112.51,111.18,104.86,118.43,110.19,111.11,110.1,116.72,116.53,106.07,104.59,114.6,110.03,114,102.88,108.46,108.52,110.24,104.89,105.83,119.49,102.73,110.57,101.2,98.38,126.09,113.01,110.26,94.51,96.25,110.05,98.71,130.28
14/02/2020,149.38,163.95,133.75,174.62,168.48,132.31,153.8,132.46,146.51,163.46,171.93,219.87,136.92,134.01,129.31,201.7,141.35,124.83,134.35,193.25,152.89,144.01,140.51,153.75,161.79,150.08,131.45,151.91,131.8,146.48,132.46,145.64,135.02,140.01,137.31,133.16,145.31,144.94,133.58,134.1,144.68,135.5,127.69,134.82,133.4,145.16,151.94,149.11,152.78,140.3,126.7,132.41,129.65,183.08,145.68,179.57,137.87,121.09,136.7,134.69,178.01
15/02/2020,122.18,143.68,113.52,158.89,200.9,132.53,170.84,121,160,166.18,170.81,225.53,152.1,137.47,115.77,252.72,164.8,119.09,135.01,216.92,143.17,124.72,128.09,159.69,156.1,155.12,122.56,140.82,108.58,141.72,154.9,134.09,129.81,154.1,126.79,146.71,141.5,163.57,125.86,115.43,124.64,118.9,114.16,133.72,120.75,171.88,200,194.3,146.5,138.89,111.32,140.86,131.87,200.26,151.27,194.8,129.24,112.77,112.83,135.45,200.18
16/02/2020,98.01,118.14,91.32,128.36,164.86,102.37,137.72,94.86,125.62,128.93,146.08,189.1,137.77,114.42,89.65,224.57,152.17,106.05,114.88,208.81,132.73,104.83,109.3,136.85,124.92,127.69,90.05,117.59,85.51,119.17,125.11,106.73,96.64,113.21,111.3,105.54,113.21,129.87,107.59,97.77,98.12,97.82,98.39,106.47,92.92,144.43,159.72,134.1,123.78,119.5,89.99,142.02,115.78,159.71,143.94,167.21,105.06,100.28,91.12,112.51,157.88
17/02/2020,111.32,119.48,96.78,127.47,145.51,109.66,124.71,105.44,127.14,142.48,151.54,175.28,127.28,117.94,100.69,194.54,135.53,109.49,117.43,227.61,129.08,116.55,106.68,136.69,128.31,123.98,101.35,119.29,96.31,105.53,118.13,119.54,105.46,119.81,122.91,103.46,123.15,124.95,117.28,101.85,119.48,101.44,108.84,116.05,105.83,144.32,135.39,120.71,142.67,115.87,101.23,141.51,113.19,144.43,174.81,164.4,115.28,100.59,103.45,125.3,140.52
18/02/2020,105.91,109.81,101.35,114.83,116.24,100.18,112.15,102.18,125.14,117.71,112.26,149.03,101.34,104.51,100.18,139.59,111.48,102.1,117.27,133.96,103.93,100.55,104.7,94.97,123.53,112.74,108.84,116.47,102.79,101.68,105.02,106.25,101.2,109.23,101.54,116.55,114.17,114.5,105.3,104.02,102.11,105.67,100.25,102.61,101.76,110.63,125.22,111.63,115.5,114.65,105.55,105.98,105.04,136.06,110.23,119.15,93.61,102.9,102.72,113.75,127.25
19/02/2020,114.17,135.22,103.5,121.52,129.59,106.37,117.7,103.87,118.48,124.28,119.54,158.91,100.89,110.78,106.34,142.05,117.19,117.78,115.17,131.78,120.99,107.7,108.05,120.12,128.45,124.98,108.27,114.82,107.29,106.02,107.19,117.42,106.83,118.53,106.31,116.09,118.49,122.99,105.63,105.73,106.67,109.43,101.64,112.14,110.24,121.26,130.61,113.85,127.43,110.88,110.01,115.29,104.62,133.32,118.17,134.99,111.28,108.39,105.21,113.53,134.73
20/02/2020,115.94,130.96,104.6,131.76,137.24,112.85,116.85,104.61,123.99,134.4,126.99,176.64,113.92,112.03,107.27,164.2,128.61,120.39,123.92,142.41,120.22,111.6,108.02,116.9,135.38,126.49,112.55,122.08,106.84,111.83,114.3,120.27,110.17,120.72,108.62,125.2,118.54,124.5,107.69,107.05,113.44,110.18,103.72,115,112.01,128.97,119.44,119.45,127.27,121.03,108.56,122.66,104.1,146.78,121.56,139.29,114.35,110.26,105.1,134.43,143.1
21/02/2020,132.54,157.52,120.31,166.92,183.53,132.18,147.04,123.06,150.13,158.32,151.44,229.16,144.62,134.82,123.5,199.87,161.07,127.3,145.02,191.77,152.62,125.29,122.21,145.01,155.1,162.56,132.37,149.02,117.94,132.35,139.76,145.41,132.86,148.23,128.55,134.31,149.15,154.5,126.95,118.06,133.2,124.22,135.85,129.78,127.26,158.72,153.04,156.3,146.01,141.54,118.32,132.46,129.95,181.46,153.88,176.37,133.89,122.06,122.49,137.43,171.68
22/02/2020,119.43,172.79,118.45,166.58,201.57,131.15,156.26,129.83,146.4,158.36,159.58,216.95,133.12,138.86,117.08,197.25,178.31,124.72,140.97,195.73,138.63,127.07,131.21,147.65,169.63,157.09,124.31,133.91,110.87,140.44,146.33,138.24,127.31,150.34,135.41,140.54,139.2,151.93,128.89,118.06,124.78,122.28,114.11,128.93,121.73,157.76,198.8,181.48,151.88,141.8,114.64,135.34,154.19,171.26,149.65,172.7,118.96,118.42,116.59,154.51,199.11
